model,distance,dataset,mr_id,total,violations,accuracy,violation_rate
sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,90,0.82,0.18
sentence-transformers/msmarco-MiniLM-L6-cos-v5,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,92,0.816,0.184
sentence-transformers/msmarco-MiniLM-L6-cos-v5,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,snli,MR4-Entailment-vs-Contradiction,500,92,0.816,0.184
sentence-transformers/msmarco-MiniLM-L6-cos-v5,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,89,0.822,0.178
sentence-transformers/msmarco-MiniLM-L6-cos-v5,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,118,0.764,0.236
sentence-transformers/msmarco-MiniLM-L6-cos-v5,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,snli,MR4-Entailment-vs-Contradiction,500,91,0.818,0.182
sentence-transformers/msmarco-MiniLM-L6-cos-v5,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,92,0.816,0.184
sentence-transformers/msmarco-MiniLM-L6-cos-v5,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,105,0.79,0.21
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,112,0.776,0.224
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,500,112,0.776,0.224
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,107,0.786,0.214
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,glue-mrpc,MR2-Paraphrase,500,8,0.984,0.016
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,10,0.98,0.02
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,119,0.762,0.238
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,glue-qqp,MR3-Duplicate-Question,500,4,0.992,0.008
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,500,106,0.788,0.212
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,7,0.986,0.014
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,112,0.776,0.224
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,13,0.974,0.026
sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,124,0.752,0.248
sentence-transformers/multi-qa-mpnet-base-dot-v1,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,13,0.974,0.026
sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,124,0.752,0.248
sentence-transformers/multi-qa-mpnet-base-dot-v1,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,glue-stsb,MR1-Semantic-Similarity,500,13,0.974,0.026
sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,500,127,0.746,0.254
sentence-transformers/multi-qa-mpnet-base-dot-v1,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,13,0.974,0.026
sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,125,0.75,0.25
sentence-transformers/multi-qa-mpnet-base-dot-v1,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,glue-mrpc,MR2-Paraphrase,500,10,0.98,0.02
sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,17,0.966,0.034
sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,146,0.708,0.292
sentence-transformers/multi-qa-mpnet-base-dot-v1,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,glue-stsb,MR1-Semantic-Similarity,500,13,0.974,0.026
sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,500,124,0.752,0.248
sentence-transformers/multi-qa-mpnet-base-dot-v1,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,13,0.974,0.026
sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,124,0.752,0.248
sentence-transformers/multi-qa-mpnet-base-dot-v1,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,39,0.922,0.078
sentence-transformers/paraphrase-MiniLM-L6-v2,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,38,0.924,0.076
sentence-transformers/paraphrase-MiniLM-L6-v2,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,500,35,0.93,0.07
sentence-transformers/paraphrase-MiniLM-L6-v2,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,40,0.92,0.08
sentence-transformers/paraphrase-MiniLM-L6-v2,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,46,0.908,0.092
sentence-transformers/paraphrase-MiniLM-L6-v2,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,500,40,0.92,0.08
sentence-transformers/paraphrase-MiniLM-L6-v2,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,38,0.924,0.076
sentence-transformers/paraphrase-MiniLM-L6-v2,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,30,0.94,0.06
sentence-transformers/paraphrase-mpnet-base-v2,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,30,0.94,0.06
sentence-transformers/paraphrase-mpnet-base-v2,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-mpnet-base-v2,euclidean,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-mpnet-base-v2,euclidean,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-mpnet-base-v2,euclidean,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/paraphrase-mpnet-base-v2,euclidean,snli,MR4-Entailment-vs-Contradiction,500,32,0.936,0.064
sentence-transformers/paraphrase-mpnet-base-v2,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,30,0.94,0.06
sentence-transformers/paraphrase-mpnet-base-v2,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,44,0.912,0.088
sentence-transformers/paraphrase-mpnet-base-v2,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-mpnet-base-v2,manhattan,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-mpnet-base-v2,manhattan,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-mpnet-base-v2,manhattan,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/paraphrase-mpnet-base-v2,manhattan,snli,MR4-Entailment-vs-Contradiction,500,33,0.934,0.066
sentence-transformers/paraphrase-mpnet-base-v2,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,4,0.992,0.008
sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,30,0.94,0.06
sentence-transformers/paraphrase-mpnet-base-v2,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
thenlper/gte-small,bray_curtis,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
thenlper/gte-small,bray_curtis,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
thenlper/gte-small,bray_curtis,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
thenlper/gte-small,bray_curtis,snli,MR4-Entailment-vs-Contradiction,500,44,0.912,0.088
thenlper/gte-small,bray_curtis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
thenlper/gte-small,cosine_distance,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
thenlper/gte-small,cosine_distance,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
thenlper/gte-small,cosine_distance,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
thenlper/gte-small,cosine_distance,snli,MR4-Entailment-vs-Contradiction,500,38,0.924,0.076
thenlper/gte-small,cosine_distance,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
thenlper/gte-small,euclidean,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
thenlper/gte-small,euclidean,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
thenlper/gte-small,euclidean,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
thenlper/gte-small,euclidean,snli,MR4-Entailment-vs-Contradiction,500,38,0.924,0.076
thenlper/gte-small,euclidean,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
thenlper/gte-small,lance_williams,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
thenlper/gte-small,lance_williams,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
thenlper/gte-small,lance_williams,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
thenlper/gte-small,lance_williams,snli,MR4-Entailment-vs-Contradiction,500,44,0.912,0.088
thenlper/gte-small,lance_williams,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
thenlper/gte-small,mahalanobis,glue-mrpc,MR2-Paraphrase,500,6,0.988,0.012
thenlper/gte-small,mahalanobis,glue-qqp,MR3-Duplicate-Question,500,6,0.988,0.012
thenlper/gte-small,mahalanobis,glue-stsb,MR1-Semantic-Similarity,500,6,0.988,0.012
thenlper/gte-small,mahalanobis,snli,MR4-Entailment-vs-Contradiction,500,51,0.898,0.102
thenlper/gte-small,mahalanobis,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
thenlper/gte-small,manhattan,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
thenlper/gte-small,manhattan,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
thenlper/gte-small,manhattan,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
thenlper/gte-small,manhattan,snli,MR4-Entailment-vs-Contradiction,500,40,0.92,0.08
thenlper/gte-small,manhattan,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
thenlper/gte-small,pearson_correlation,glue-mrpc,MR2-Paraphrase,500,5,0.99,0.01
thenlper/gte-small,pearson_correlation,glue-qqp,MR3-Duplicate-Question,500,3,0.994,0.006
thenlper/gte-small,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,500,5,0.99,0.01
thenlper/gte-small,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,500,38,0.924,0.076
thenlper/gte-small,pearson_correlation,synthetic,MR5-Domain-Knowledge,500,0,1.0,0.0
