model,distance,dataset,mr_id,positive_distance,negative_distance,violated,base,positive,negative
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,0.836419,0.807891,True,Two men jumping outside on the grass.,Two men are outside,One man is jumping while the other is watching.
sentence-transformers/all-distilroberta-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,18.194981,18.094467,True,Two men jumping outside on the grass.,Two men are outside,One man is jumping while the other is watching.
sentence-transformers/all-distilroberta-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.453568,0.451189,True,Two men jumping outside on the grass.,Two men are outside,One man is jumping while the other is watching.
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.349798,0.32635,True,Two men jumping outside on the grass.,Two men are outside,One man is jumping while the other is watching.
sentence-transformers/all-distilroberta-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.3617,0.34159,True,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,There are three women outdoors.,Two blond women lean against a wooden fence
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,0.85053,0.826547,True,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,There are three women outdoors.,Two blond women lean against a wooden fence
sentence-transformers/all-distilroberta-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,18.717587,17.691921,True,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,There are three women outdoors.,Two blond women lean against a wooden fence
sentence-transformers/all-distilroberta-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.465509,0.439217,True,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,There are three women outdoors.,Two blond women lean against a wooden fence
sentence-transformers/all-distilroberta-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.423013,0.399679,True,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,There are three women outdoors.,Two blond women lean against a wooden fence
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.361737,0.341505,True,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,There are three women outdoors.,Two blond women lean against a wooden fence
sentence-transformers/all-distilroberta-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,27.237253,25.934409,True,Three brown-haired women in brown and green skirts lean against a metal fence staring to the left.,There are three women outdoors.,Two blond women lean against a wooden fence
sentence-transformers/all-distilroberta-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,32.807009,31.937609,True,A motorcycle racer speeds around a track.,The rider is on a motorcycle.,The racer is on a horse.
sentence-transformers/all-distilroberta-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.239482,0.131704,True,A person in a brown shirt is pushing a baby in a stroller by the sea.,A person in a brown shirt is pushing a baby.,A person in a green shirt is pushing a baby in a stroller by the sea.
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,0.692072,0.513233,True,A person in a brown shirt is pushing a baby in a stroller by the sea.,A person in a brown shirt is pushing a baby.,A person in a green shirt is pushing a baby in a stroller by the sea.
sentence-transformers/all-distilroberta-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,14.895153,11.332745,True,A person in a brown shirt is pushing a baby in a stroller by the sea.,A person in a brown shirt is pushing a baby.,A person in a green shirt is pushing a baby in a stroller by the sea.
sentence-transformers/all-distilroberta-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.362375,0.263562,True,A person in a brown shirt is pushing a baby in a stroller by the sea.,A person in a brown shirt is pushing a baby.,A person in a green shirt is pushing a baby in a stroller by the sea.
sentence-transformers/all-distilroberta-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.336183,0.254891,True,A person in a brown shirt is pushing a baby in a stroller by the sea.,A person in a brown shirt is pushing a baby.,A person in a green shirt is pushing a baby in a stroller by the sea.
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.239514,0.13172,True,A person in a brown shirt is pushing a baby in a stroller by the sea.,A person in a brown shirt is pushing a baby.,A person in a green shirt is pushing a baby in a stroller by the sea.
sentence-transformers/all-distilroberta-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,22.574575,18.395751,True,A person in a brown shirt is pushing a baby in a stroller by the sea.,A person in a brown shirt is pushing a baby.,A person in a green shirt is pushing a baby in a stroller by the sea.
sentence-transformers/all-distilroberta-v1,mahalanobis,glue-stsb,MR1-Semantic-Similarity,24.952996,24.246426,True,A man is dancing on the ceiling of a room.,A man is dancing upside-down on the ceiling.,A man is dancing.
sentence-transformers/all-distilroberta-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.429044,0.346018,True,A woman with a maroon shirt on and blue jeans in a work environment using a pulley to move a structure.,A woman has a maroon shirt,A woman is using a pulley to move .
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,0.92633,0.831886,True,A woman with a maroon shirt on and blue jeans in a work environment using a pulley to move a structure.,A woman has a maroon shirt,A woman is using a pulley to move .
sentence-transformers/all-distilroberta-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,20.27935,17.978149,True,A woman with a maroon shirt on and blue jeans in a work environment using a pulley to move a structure.,A woman has a maroon shirt,A woman is using a pulley to move .
sentence-transformers/all-distilroberta-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.529496,0.452182,True,A woman with a maroon shirt on and blue jeans in a work environment using a pulley to move a structure.,A woman has a maroon shirt,A woman is using a pulley to move .
sentence-transformers/all-distilroberta-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.465456,0.407305,True,A woman with a maroon shirt on and blue jeans in a work environment using a pulley to move a structure.,A woman has a maroon shirt,A woman is using a pulley to move .
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.429066,0.346034,True,A woman with a maroon shirt on and blue jeans in a work environment using a pulley to move a structure.,A woman has a maroon shirt,A woman is using a pulley to move .
sentence-transformers/all-distilroberta-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,28.850483,27.924382,True,A woman with a maroon shirt on and blue jeans in a work environment using a pulley to move a structure.,A woman has a maroon shirt,A woman is using a pulley to move .
sentence-transformers/all-distilroberta-v1,cosine_distance,glue-mrpc,MR2-Paraphrase,0.063882,0.063882,True,"Available in June , Bare Metal Restore 4.6 costs $ 900 per Windows client and $ 1,000 per Unix client for new customers .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client ."
sentence-transformers/all-distilroberta-v1,euclidean,glue-mrpc,MR2-Paraphrase,0.35744,0.35744,True,"Available in June , Bare Metal Restore 4.6 costs $ 900 per Windows client and $ 1,000 per Unix client for new customers .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client ."
sentence-transformers/all-distilroberta-v1,manhattan,glue-mrpc,MR2-Paraphrase,7.937713,7.937713,True,"Available in June , Bare Metal Restore 4.6 costs $ 900 per Windows client and $ 1,000 per Unix client for new customers .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client ."
sentence-transformers/all-distilroberta-v1,bray_curtis,glue-mrpc,MR2-Paraphrase,0.182805,0.182805,True,"Available in June , Bare Metal Restore 4.6 costs $ 900 per Windows client and $ 1,000 per Unix client for new customers .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client ."
sentence-transformers/all-distilroberta-v1,lance_williams,glue-mrpc,MR2-Paraphrase,0.179949,0.179949,True,"Available in June , Bare Metal Restore 4.6 costs $ 900 per Windows client and $ 1,000 per Unix client for new customers .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client ."
sentence-transformers/all-distilroberta-v1,pearson_correlation,glue-mrpc,MR2-Paraphrase,0.063888,0.063888,True,"Available in June , Bare Metal Restore 4.6 costs $ 900 per Windows client and $ 1,000 per Unix client for new customers .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client ."
sentence-transformers/all-distilroberta-v1,mahalanobis,glue-mrpc,MR2-Paraphrase,15.803448,15.803448,True,"Available in June , Bare Metal Restore 4.6 costs $ 900 per Windows client and $ 1,000 per Unix client for new customers .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client .","Bare Metal Restore 4.6 will be available in mid-June , said Veritas , and will cost $ 900 per Windows client and $ 1,000 per Unix client ."
sentence-transformers/all-distilroberta-v1,cosine_distance,glue-stsb,MR1-Semantic-Similarity,0.042166,-0.0,True,A woman is peeling a potato.,A woman peels a potato.,A woman is peeling a potato.
sentence-transformers/all-distilroberta-v1,euclidean,glue-stsb,MR1-Semantic-Similarity,0.290399,1e-06,True,A woman is peeling a potato.,A woman peels a potato.,A woman is peeling a potato.
sentence-transformers/all-distilroberta-v1,manhattan,glue-stsb,MR1-Semantic-Similarity,6.325698,1.7e-05,True,A woman is peeling a potato.,A woman peels a potato.,A woman is peeling a potato.
sentence-transformers/all-distilroberta-v1,bray_curtis,glue-stsb,MR1-Semantic-Similarity,0.149322,0.0,True,A woman is peeling a potato.,A woman peels a potato.,A woman is peeling a potato.
sentence-transformers/all-distilroberta-v1,lance_williams,glue-stsb,MR1-Semantic-Similarity,0.147526,0.0,True,A woman is peeling a potato.,A woman peels a potato.,A woman is peeling a potato.
sentence-transformers/all-distilroberta-v1,pearson_correlation,glue-stsb,MR1-Semantic-Similarity,0.042181,-0.0,True,A woman is peeling a potato.,A woman peels a potato.,A woman is peeling a potato.
sentence-transformers/all-distilroberta-v1,mahalanobis,glue-stsb,MR1-Semantic-Similarity,13.958996,3.8e-05,True,A woman is peeling a potato.,A woman peels a potato.,A woman is peeling a potato.
sentence-transformers/all-distilroberta-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.413288,0.40463,True,The bird is carrying a plant in its mouth while flying.,There is a plant in the air.,A bird is carrying a fish in it's mouth.
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,0.909162,0.899589,True,The bird is carrying a plant in its mouth while flying.,There is a plant in the air.,A bird is carrying a fish in it's mouth.
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.413296,0.404632,True,The bird is carrying a plant in its mouth while flying.,There is a plant in the air.,A bird is carrying a fish in it's mouth.
sentence-transformers/all-distilroberta-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.619145,0.279182,True,A man on a bike in midair,The biker rode off a ramp.,The man is flying the bike in the sky.
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,1.112785,0.747238,True,A man on a bike in midair,The biker rode off a ramp.,The man is flying the bike in the sky.
sentence-transformers/all-distilroberta-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,24.661495,16.404222,True,A man on a bike in midair,The biker rode off a ramp.,The man is flying the bike in the sky.
sentence-transformers/all-distilroberta-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.678161,0.399956,True,A man on a bike in midair,The biker rode off a ramp.,The man is flying the bike in the sky.
sentence-transformers/all-distilroberta-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.566434,0.37193,True,A man on a bike in midair,The biker rode off a ramp.,The man is flying the bike in the sky.
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.619131,0.279185,True,A man on a bike in midair,The biker rode off a ramp.,The man is flying the bike in the sky.
sentence-transformers/all-distilroberta-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,40.788447,31.449298,True,A man on a bike in midair,The biker rode off a ramp.,The man is flying the bike in the sky.
sentence-transformers/all-distilroberta-v1,cosine_distance,glue-mrpc,MR2-Paraphrase,0.049698,0.049698,True,"U.S. Agriculture Secretary Ann Veneman , who announced Tuesdays ban , also said Washington would send a technical team to Canada to help .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation ."
sentence-transformers/all-distilroberta-v1,euclidean,glue-mrpc,MR2-Paraphrase,0.315271,0.315271,True,"U.S. Agriculture Secretary Ann Veneman , who announced Tuesdays ban , also said Washington would send a technical team to Canada to help .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation ."
sentence-transformers/all-distilroberta-v1,manhattan,glue-mrpc,MR2-Paraphrase,6.866892,6.866892,True,"U.S. Agriculture Secretary Ann Veneman , who announced Tuesdays ban , also said Washington would send a technical team to Canada to help .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation ."
sentence-transformers/all-distilroberta-v1,bray_curtis,glue-mrpc,MR2-Paraphrase,0.161752,0.161752,True,"U.S. Agriculture Secretary Ann Veneman , who announced Tuesdays ban , also said Washington would send a technical team to Canada to help .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation ."
sentence-transformers/all-distilroberta-v1,lance_williams,glue-mrpc,MR2-Paraphrase,0.159788,0.159788,True,"U.S. Agriculture Secretary Ann Veneman , who announced Tuesdays ban , also said Washington would send a technical team to Canada to help .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation ."
sentence-transformers/all-distilroberta-v1,pearson_correlation,glue-mrpc,MR2-Paraphrase,0.049704,0.049704,True,"U.S. Agriculture Secretary Ann Veneman , who announced Tuesdays ban , also said Washington would send a technical team to Canada to help .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation ."
sentence-transformers/all-distilroberta-v1,mahalanobis,glue-mrpc,MR2-Paraphrase,11.67068,11.67068,True,"U.S. Agriculture Secretary Ann Veneman , who announced Tuesdays ban , also said Washington would send a technical team to Canada to help .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation .","U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation ."
sentence-transformers/all-distilroberta-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,25.284238,23.327202,True,Three men are standing in a forest.,Three humans are standing outside.,Three women are in a forest.
sentence-transformers/all-distilroberta-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.503383,0.186108,True,A young girl with blond-hair and a green shirt plays jump rope.,A child is playing.,A young girl with black hair and a blue shirt plays jump rope.
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,1.003378,0.610095,True,A young girl with blond-hair and a green shirt plays jump rope.,A child is playing.,A young girl with black hair and a blue shirt plays jump rope.
sentence-transformers/all-distilroberta-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,21.855015,13.155396,True,A young girl with blond-hair and a green shirt plays jump rope.,A child is playing.,A young girl with black hair and a blue shirt plays jump rope.
sentence-transformers/all-distilroberta-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.568283,0.31313,True,A young girl with blond-hair and a green shirt plays jump rope.,A child is playing.,A young girl with black hair and a blue shirt plays jump rope.
sentence-transformers/all-distilroberta-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.495465,0.29825,True,A young girl with blond-hair and a green shirt plays jump rope.,A child is playing.,A young girl with black hair and a blue shirt plays jump rope.
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.503356,0.186112,True,A young girl with blond-hair and a green shirt plays jump rope.,A child is playing.,A young girl with black hair and a blue shirt plays jump rope.
sentence-transformers/all-distilroberta-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,31.226985,21.846007,True,A young girl with blond-hair and a green shirt plays jump rope.,A child is playing.,A young girl with black hair and a blue shirt plays jump rope.
sentence-transformers/all-distilroberta-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.329936,0.274083,True,Two males moving a food stand on a street.,Two people are transporting a stand to a new location.,Two males are sitting at their food stand on a street.
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,0.812325,0.740382,True,Two males moving a food stand on a street.,Two people are transporting a stand to a new location.,Two males are sitting at their food stand on a street.
sentence-transformers/all-distilroberta-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,17.97509,16.377151,True,Two males moving a food stand on a street.,Two people are transporting a stand to a new location.,Two males are sitting at their food stand on a street.
sentence-transformers/all-distilroberta-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.448051,0.402034,True,Two males moving a food stand on a street.,Two people are transporting a stand to a new location.,Two males are sitting at their food stand on a street.
sentence-transformers/all-distilroberta-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.409053,0.373263,True,Two males moving a food stand on a street.,Two people are transporting a stand to a new location.,Two males are sitting at their food stand on a street.
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.330048,0.27417,True,Two males moving a food stand on a street.,Two people are transporting a stand to a new location.,Two males are sitting at their food stand on a street.
sentence-transformers/all-distilroberta-v1,cosine_distance,glue-mrpc,MR2-Paraphrase,0.404092,0.404092,True,He took batting practice on the field for the second time Tuesday since his opening-day injury .,"Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .","Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday ."
sentence-transformers/all-distilroberta-v1,euclidean,glue-mrpc,MR2-Paraphrase,0.898991,0.898991,True,He took batting practice on the field for the second time Tuesday since his opening-day injury .,"Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .","Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday ."
sentence-transformers/all-distilroberta-v1,manhattan,glue-mrpc,MR2-Paraphrase,19.778131,19.778131,True,He took batting practice on the field for the second time Tuesday since his opening-day injury .,"Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .","Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday ."
sentence-transformers/all-distilroberta-v1,bray_curtis,glue-mrpc,MR2-Paraphrase,0.511355,0.511355,True,He took batting practice on the field for the second time Tuesday since his opening-day injury .,"Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .","Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday ."
sentence-transformers/all-distilroberta-v1,lance_williams,glue-mrpc,MR2-Paraphrase,0.459081,0.459081,True,He took batting practice on the field for the second time Tuesday since his opening-day injury .,"Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .","Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday ."
sentence-transformers/all-distilroberta-v1,pearson_correlation,glue-mrpc,MR2-Paraphrase,0.404075,0.404075,True,He took batting practice on the field for the second time Tuesday since his opening-day injury .,"Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .","Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday ."
sentence-transformers/all-distilroberta-v1,mahalanobis,glue-mrpc,MR2-Paraphrase,33.798379,33.798379,True,He took batting practice on the field for the second time Tuesday since his opening-day injury .,"Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday .","Jeter , who dislocated his left shoulder in a collision March 31 , took batting practice on the field for the first time Monday ."
sentence-transformers/all-distilroberta-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.317524,0.286699,True,A guy flipped over upside down on a bicycle.,A guy is riding a bicycle.,A guy flipped upside down in a car.
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,0.796899,0.75723,True,A guy flipped over upside down on a bicycle.,A guy is riding a bicycle.,A guy flipped upside down in a car.
sentence-transformers/all-distilroberta-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,17.636568,16.476736,True,A guy flipped over upside down on a bicycle.,A guy is riding a bicycle.,A guy flipped upside down in a car.
sentence-transformers/all-distilroberta-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.434143,0.405716,True,A guy flipped over upside down on a bicycle.,A guy is riding a bicycle.,A guy flipped upside down in a car.
sentence-transformers/all-distilroberta-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.399249,0.374511,True,A guy flipped over upside down on a bicycle.,A guy is riding a bicycle.,A guy flipped upside down in a car.
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.317479,0.286694,True,A guy flipped over upside down on a bicycle.,A guy is riding a bicycle.,A guy flipped upside down in a car.
sentence-transformers/all-distilroberta-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,30.762946,23.933244,True,A guy flipped over upside down on a bicycle.,A guy is riding a bicycle.,A guy flipped upside down in a car.
sentence-transformers/all-distilroberta-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.568498,0.559402,True,The young boy is running while bouncing a basketball.,A person runs and uses a sports related item.,A boy runs and kicks a soccer ball.
sentence-transformers/all-distilroberta-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,1.0663,1.057736,True,The young boy is running while bouncing a basketball.,A person runs and uses a sports related item.,A boy runs and kicks a soccer ball.
sentence-transformers/all-distilroberta-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,23.71291,22.646366,True,The young boy is running while bouncing a basketball.,A person runs and uses a sports related item.,A boy runs and kicks a soccer ball.
sentence-transformers/all-distilroberta-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.642036,0.618142,True,The young boy is running while bouncing a basketball.,A person runs and uses a sports related item.,A boy runs and kicks a soccer ball.
sentence-transformers/all-distilroberta-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.543042,0.524957,True,The young boy is running while bouncing a basketball.,A person runs and uses a sports related item.,A boy runs and kicks a soccer ball.
sentence-transformers/all-distilroberta-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.568502,0.559386,True,The young boy is running while bouncing a basketball.,A person runs and uses a sports related item.,A boy runs and kicks a soccer ball.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.441959,0.374782,True,Side view of a man tending to food on a grill with sunglasses and black shirt on.,The man is grilling outdoors.,The man is wearing a poncho while grilling in the rain.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,0.940169,0.865774,True,Side view of a man tending to food on a grill with sunglasses and black shirt on.,The man is grilling outdoors.,The man is wearing a poncho while grilling in the rain.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,14.825815,13.486901,True,Side view of a man tending to food on a grill with sunglasses and black shirt on.,The man is grilling outdoors.,The man is wearing a poncho while grilling in the rain.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.5412,0.482927,True,Side view of a man tending to food on a grill with sunglasses and black shirt on.,The man is grilling outdoors.,The man is wearing a poncho while grilling in the rain.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.474615,0.432811,True,Side view of a man tending to food on a grill with sunglasses and black shirt on.,The man is grilling outdoors.,The man is wearing a poncho while grilling in the rain.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.441937,0.374804,True,Side view of a man tending to food on a grill with sunglasses and black shirt on.,The man is grilling outdoors.,The man is wearing a poncho while grilling in the rain.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,20.909743,20.417218,True,Side view of a man tending to food on a grill with sunglasses and black shirt on.,The man is grilling outdoors.,The man is wearing a poncho while grilling in the rain.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,snli,MR4-Entailment-vs-Contradiction,0.653681,0.445701,True,"Two women in long, wool skirts are surrounded by goats outside on a farm.",Animals outside are near people.,The cows are near the men.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,snli,MR4-Entailment-vs-Contradiction,1.143399,0.944141,True,"Two women in long, wool skirts are surrounded by goats outside on a farm.",Animals outside are near people.,The cows are near the men.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,manhattan,snli,MR4-Entailment-vs-Contradiction,17.571819,14.888993,True,"Two women in long, wool skirts are surrounded by goats outside on a farm.",Animals outside are near people.,The cows are near the men.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,bray_curtis,snli,MR4-Entailment-vs-Contradiction,0.69918,0.541,True,"Two women in long, wool skirts are surrounded by goats outside on a farm.",Animals outside are near people.,The cows are near the men.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,lance_williams,snli,MR4-Entailment-vs-Contradiction,0.562381,0.473578,True,"Two women in long, wool skirts are surrounded by goats outside on a farm.",Animals outside are near people.,The cows are near the men.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,pearson_correlation,snli,MR4-Entailment-vs-Contradiction,0.653735,0.445646,True,"Two women in long, wool skirts are surrounded by goats outside on a farm.",Animals outside are near people.,The cows are near the men.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,mahalanobis,snli,MR4-Entailment-vs-Contradiction,25.9638,23.462456,True,"Two women in long, wool skirts are surrounded by goats outside on a farm.",Animals outside are near people.,The cows are near the men.
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,cosine_distance,glue-qqp,MR3-Duplicate-Question,0.252578,0.163167,True,What is the smartest thing you have seen aperson do?,What is the smartest thing anyone has ever done?,What's the smartest thing you've ever seen someone do?
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,euclidean,glue-qqp,MR3-Duplicate-Question,0.710744,0.571257,True,What is the smartest thing you have seen aperson do?,What is the smartest thing anyone has ever done?,What's the smartest thing you've ever seen someone do?
